host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
0.8270,700,0,0.0,-0.0015,0.045,0.0000,0,0,0
0.8270,701,0,0.0,-0.0031,0.099,0.0000,0,0,0
0.8270,702,0,0.0,-0.0138,-0.181,0.0000,0,0,0
0.8471,703,0,0.0,-0.0031,-0.090,0.0000,0,0,0
0.8471,704,0,0.0,-0.0031,-0.080,0.0000,0,0,0
0.8471,705,0,0.0,-0.0061,-0.110,0.0000,0,0,0
0.8471,706,0,0.0,-0.0031,0.189,0.0000,0,0,0
0.8672,707,0,0.0,-0.0061,0.025,0.0000,0,0,0
0.8672,708,0,0.0,-0.0061,-0.064,0.0000,0,0,0
0.8672,709,0,0.0,-0.0031,0.045,0.0000,0,0,0
0.8672,710,0,0.0,-0.0031,0.022,0.0000,0,0,0
0.8873,711,0,0.0,-0.0184,-0.296,0.0000,0,0,0
0.8874,712,0,0.0,-0.0046,-0.109,0.0000,0,0,0
0.8874,713,0,0.0,-0.0031,-0.055,0.0000,0,0,0
0.8874,714,0,0.0,-0.0046,-0.066,0.0000,0,0,0
0.9076,715,0,0.0,0.0031,0.504,0.0000,0,0,0
0.9076,716,0,0.0,-0.0031,0.290,0.0000,0,0,0
0.9076,717,0,0.0,-0.0031,0.145,0.0000,0,0,0
0.9076,718,0,0.0,-0.0031,0.111,0.0000,0,0,0
0.9277,719,0,0.0,-0.0215,-0.558,0.0000,0,0,0
0.9277,720,0,0.0,-0.0031,-0.279,0.0000,0,0,0
0.9277,721,0,0.0,0.0015,-0.035,0.0000,0,0,0
0.9277,722,0,0.0,-0.0031,-0.017,0.0000,0,0,0
0.9478,723,0,0.0,-0.0031,0.410,0.0000,0,0,0
0.9478,724,0,0.0,-0.0031,0.205,0.0000,0,0,0
0.9478,725,0,0.0,-0.0077,-0.128,0.0000,0,0,0
0.9479,726,0,0.0,-0.0046,-0.102,0.0000,0,0,0
0.9679,727,0,0.0,-0.0031,-0.051,0.0000,0,0,0
0.9680,728,0,0.0,-0.0046,-0.064,0.0000,0,0,0
0.9680,729,0,0.0,-0.0031,0.083,0.0000,0,0,0
0.9680,730,0,0.0,-0.0031,0.080,0.0000,0,0,0
0.9881,731,0,0.0,-0.0184,-0.344,0.0000,0,0,0
0.9881,732,0,0.0,-0.0031,-0.133,0.0000,0,0,0
0.9881,733,0,0.0,0.0031,0.087,0.0000,0,0,0
0.9881,734,0,0.0,-0.0046,0.005,0.0000,0,0,0
1.0082,735,0,0.0,-0.0031,0.386,0.0000,0,0,0
1.0083,736,0,0.0,0.0077,0.437,0.0000,0,0,0
1.0083,737,0,0.0,-0.0031,0.079,0.0000,0,0,0
1.0284,738,0,0.0,-0.0061,0.005,0.0000,0,0,0
1.0284,739,0,0.0,-0.0031,0.002,0.0000,0,0,0
1.0284,740,0,0.0,-0.0046,-0.306,0.0000,0,0,0
1.0284,741,0,0.0,-0.0031,-0.153,0.0000,0,0,0
1.0486,742,0,0.0,0.0015,0.115,0.0000,0,0,0
1.0486,743,0,0.0,-0.0046,0.019,0.0000,0,0,0
1.0486,744,0,0.0,-0.0031,0.048,0.0000,0,0,0
1.0486,745,0,0.0,-0.0046,-0.014,0.0000,0,0,0
1.0687,746,0,0.0,-0.0138,-0.391,0.0000,0,0,0
1.0687,747,0,0.0,-0.0031,-0.157,0.0000,0,0,0
1.0687,748,0,0.0,0.0015,0.037,0.0000,0,0,0
1.0687,749,0,0.0,-0.0046,0.018,0.0000,0,0,0
1.0889,750,0,0.0,-0.0031,0.278,0.0000,0,0,0
1.0889,751,0,0.0,-0.0046,0.100,0.0000,0,0,0
1.0889,752,0,0.0,-0.0077,-0.159,0.0000,0,0,0
1.0889,753,0,0.0,-0.0046,-0.079,0.0000,0,0,0
1.1091,754,0,0.0,-0.0061,-0.109,0.0000,0,0,0
1.1092,755,0,0.0,-0.0046,-0.055,0.0000,0,0,0
1.1092,756,0,0.0,-0.0031,0.088,0.0000,0,0,0
1.1092,757,0,0.0,-0.0046,0.044,0.0000,0,0,0
1.1294,758,0,0.0,-0.0031,0.099,0.0000,0,0,0
1.1295,759,0,0.0,-0.0031,0.088,0.0000,0,0,0
1.1295,760,0,0.0,0.0000,0.121,0.0000,0,0,0
1.1295,761,0,0.0,-0.0046,0.060,0.0000,0,0,0
1.1496,762,0,0.0,0.0015,0.145,0.0000,0,0,0
1.1496,763,0,0.0,-0.0031,0.073,0.0000,0,0,0
1.1496,764,0,0.0,-0.0061,-0.117,0.0000,0,0,0
1.1496,765,0,0.0,-0.0031,-0.020,0.0000,0,0,0
1.1697,766,0,0.0,-0.0092,-0.279,0.0000,0,0,0
1.1698,767,0,0.0,-0.0046,-0.178,0.0000,0,0,0
1.1698,768,0,0.0,-0.0031,-0.019,0.0000,0,0,0
1.1698,769,0,0.0,-0.0031,-0.010,0.0000,0,0,0
1.1899,770,0,0.0,-0.0031,0.135,0.0000,0,0,0
1.1900,771,0,0.0,-0.0031,0.102,0.0000,0,0,0
1.1900,772,0,0.0,-0.0046,0.013,0.0000,0,0,0
1.1900,773,0,0.0,-0.0031,0.006,0.0000,0,0,0
1.2101,774,0,0.0,-0.0046,-0.035,0.0000,0,0,0
1.2101,775,0,0.0,-0.0077,-0.133,0.0000,0,0,0
1.2101,776,0,0.0,-0.0031,-0.028,0.0000,0,0,0
1.2101,777,0,0.0,0.0000,0.063,0.0000,0,0,0
1.2303,778,0,0.0,-0.0031,0.070,0.0000,0,0,0
1.2303,779,0,0.0,-0.0031,0.150,0.0000,0,0,0
1.2303,780,0,0.0,-0.0061,-0.002,0.0000,0,0,0
1.2303,781,0,0.0,-0.0015,-0.039,0.0000,0,0,0
1.2504,782,0,0.0,-0.0015,0.019,0.0000,0,0,0
1.2504,783,0,0.0,-0.0031,0.009,0.0000,0,0,0
1.2504,784,0,0.0,-0.0031,0.074,0.0000,0,0,0
1.2504,785,0,0.0,-0.0046,-0.033,0.0000,0,0,0
1.2705,786,0,0.0,-0.0046,-0.086,0.0000,0,0,0
1.2706,787,0,0.0,-0.0031,-0.043,0.0000,0,0,0
1.2706,788,0,0.0,-0.0031,-0.021,0.0000,0,0,0
1.2706,789,0,0.0,-0.0031,0.028,0.0000,0,0,0
1.2907,790,0,0.0,-0.0031,0.052,0.0000,0,0,0
1.2907,791,0,0.0,-0.0046,-0.012,0.0000,0,0,0
1.2907,792,0,0.0,-0.0046,-0.044,0.0000,0,0,0
1.2907,793,0,0.0,0.0123,0.361,0.0000,0,0,0
1.3108,794,0,0.0,-0.0046,0.142,0.0000,0,0,0
1.3108,795,0,0.0,-0.0031,0.109,0.0000,0,0,0
1.3108,796,0,0.0,-0.0031,0.093,0.0000,0,0,0
1.3108,797,0,0.0,-0.0138,-0.605,0.0000,0,0,0
1.3310,798,0,0.0,-0.0046,-0.303,0.0000,0,0,0
1.3311,799,0,0.0,-0.0077,-0.266,0.0000,0,0,0
1.3311,800,0,0.0,-0.0046,-0.168,0.0000,0,0,0
